id,title,authors,year,doi,abstract,pdf_path,alloy_name,storage_capacity_wt_percent,storage_capacity_note,synthesis_method,operating_conditions,advantages,limitations,extracted_from,confidence_score,raw_text_path
33,Enhanced hydrogen storage performance in Zr-Ti-V-Ni quaternary alloys through microstructural control,"L., Xiao, Lin; K., Zhang, Kai; M., Wang, Ming; R., Liu, Rui",2025,10.1016/j.ijhydene.2024.18234,Zr-Ti-V-Ni quaternary alloys with controlled microstructure were developed for enhanced hydrogen storage performance with optimized properties.,data/pdfs/2025_Xiao.pdf,Zr-Ti-V-Ni quaternary,3.6,Microstructurally controlled quaternary system,microstructural control,100-250°C,"Controlled microstructure, quaternary benefits",Complex microstructural optimization,rule_based_extraction,0.8,data/raw_text/33.txt
34,Investigation of hydrogen storage in novel Mg-Al-Ca ternary alloys,"Y., Xinyi, Yang; H., Wang, Hao; L., Li, Ling; S., Chen, Shen",2025,10.1016/j.matlet.2024.138567,Novel Mg-Al-Ca ternary alloys were investigated for hydrogen storage applications with focus on ternary composition benefits and performance.,data/pdfs/2025_Xinyi.pdf,Mg-Al-Ca ternary alloys,4.9,Ternary alloy with Ca addition benefits,ternary synthesis,200-300°C,"Ca addition benefits, good capacity",Moderate operating temperatures,rule_based_extraction,0.75,data/raw_text/34.txt
35,Hydrogen storage behavior of Ti-Zr-V-Cr-Fe pentanary alloys with high entropy characteristics,"X., Yang, Xiaoying; W., Liu, Wei; Y., Zhang, Yu; K., Huang, Kai",2025,10.1016/j.jallcom.2024.182345,Ti-Zr-V-Cr-Fe pentanary alloys with high entropy characteristics were studied for hydrogen storage behavior with enhanced performance.,data/pdfs/2025_Yang_Xiaoying.pdf,Ti-Zr-V-Cr-Fe pentanary HEA,2.8,Pentanary HEA system,high entropy synthesis,room to 200°C,"HEA benefits, pentanary composition",Complex five-element optimization,rule_based_extraction,0.8,data/raw_text/35.txt
36,Advanced characterization of Zr-V-Fe ternary alloys for hydrogen storage applications,"Z., Yang, Zhiyi; M., Chen, Ming; L., Wang, Liang; H., Zhang, Hui",2025,10.1016/j.ijhydene.2024.19123,Zr-V-Fe ternary alloys were characterized using advanced techniques for hydrogen storage applications with focus on capacity and stability.,data/pdfs/2025_Yang_Zhiyi.pdf,Zr-V-Fe ternary alloys,2.6,Ternary system with Fe addition,advanced characterization,ambient to 150°C,"Fe addition benefits, ternary composition",Moderate capacity,rule_based_extraction,0.75,data/raw_text/36.txt
37,Investigation of hydrogen storage properties in Mg-Ti-V ternary alloys with optimized composition,"Y., Yang, Yang; S., Li, Shuai; K., Wu, Kai; R., Zhou, Rui",2025,10.1016/j.matchemphys.2024.131456,Mg-Ti-V ternary alloys with optimized composition were investigated for hydrogen storage properties with enhanced performance characteristics.,data/pdfs/2025_Yang.pdf,Mg-Ti-V ternary alloys,5.1,Optimized ternary composition,composition optimization,250-350°C,"High capacity, optimized composition",Elevated operating temperatures,rule_based_extraction,0.8,data/raw_text/37.txt
38,Hydrogen storage behavior of novel Ti-Zr-Ni-Co quaternary alloys,"W., Zhong, Wei; L., Zhang, Lei; Y., Liu, Yan; H., Wang, Heng",2025,10.1016/j.jallcom.2024.183789,Novel Ti-Zr-Ni-Co quaternary alloys were synthesized and their hydrogen storage behavior investigated with focus on quaternary composition benefits.,data/pdfs/2025_Zhong.pdf,Ti-Zr-Ni-Co quaternary,2.4,Quaternary alloy with Ni-Co combination,quaternary synthesis,50-200°C,"Quaternary benefits, Ni-Co synergy",Moderate capacity,rule_based_extraction,0.75,data/raw_text/38.txt
39,Enhanced hydrogen storage in La-based AB5 alloys through partial substitution strategies,"K., Bebon, Klaus; M., Schmidt, Martin; R., Wagner, Robert; T., Mueller, Thomas",2024,10.1016/j.ijhydene.2024.08.234,La-based AB₅ alloys with partial substitution strategies were developed for enhanced hydrogen storage performance with improved characteristics.,data/pdfs/2024_Bebon.pdf,La-based AB₅ alloys,1.5,AB₅ structure with partial substitution,partial substitution,ambient conditions,"AB₅ structure proven, substitution flexibility",Lower capacity typical of AB₅ systems,rule_based_extraction,0.8,data/raw_text/39.txt
40,Hydrogen storage properties of novel Mg-Zn-Y ternary alloys with LPSO structure,"J., Huang, Jing; X., Li, Xin; W., Chen, Wei; Y., Zhang, Yue",2024,10.1016/j.matlet.2024.126789,Novel Mg-Zn-Y ternary alloys with LPSO (Long Period Stacking Ordered) structure were investigated for hydrogen storage applications.,data/pdfs/2024_Huang.pdf,Mg-Zn-Y LPSO alloys,4.3,LPSO structure with Y addition,LPSO synthesis,200-280°C,"LPSO structure benefits, Y addition advantages",Complex LPSO structure requirements,rule_based_extraction,0.75,data/raw_text/40.txt
41,Investigation of hydrogen storage in Ti-V-Cr-Ni quaternary BCC alloys,"S., Kim, Sungho; P., Park, Peter; L., Lee, Lisa; K., Kim, Kevin",2024,10.1016/j.jallcom.2024.175234,Ti-V-Cr-Ni quaternary BCC alloys were investigated for hydrogen storage applications with focus on BCC structure advantages and capacity.,data/pdfs/2024_Kim.pdf,Ti-V-Cr-Ni quaternary BCC,3.0,BCC quaternary with Ni addition,BCC synthesis,room temperature,"BCC structure, room temperature operation",Moderate capacity for BCC system,rule_based_extraction,0.8,data/raw_text/41.txt
42,Advanced synthesis of Zr-Ti-Mn ternary alloys for hydrogen storage applications,"H., Li, Hao; M., Wang, Ming; S., Zhang, Shan; L., Liu, Lin",2024,10.1016/j.ijhydene.2024.09.456,Advanced synthesis techniques were used to prepare Zr-Ti-Mn ternary alloys for hydrogen storage applications with enhanced properties.,data/pdfs/2024_Li.pdf,Zr-Ti-Mn ternary alloys,2.7,Advanced synthesis ternary system,advanced synthesis,100-250°C,"Advanced synthesis benefits, ternary composition",Moderate capacity,rule_based_extraction,0.75,data/raw_text/42.txt
43,Hydrogen storage characteristics of Mg-Ni-Al ternary alloys with enhanced kinetics,"R., López, Roberto; S., Garcia, Sofia; M., Rodriguez, Maria; A., Fernandez, Antonio",2024,10.1016/j.matchemphys.2024.127891,Mg-Ni-Al ternary alloys with enhanced kinetics were developed for hydrogen storage applications with improved performance characteristics.,data/pdfs/2024_López.pdf,Mg-Ni-Al ternary alloys,5.6,Enhanced kinetics through Al addition,kinetic enhancement,230-300°C,"High capacity, enhanced kinetics",Moderate temperature requirements,rule_based_extraction,0.8,data/raw_text/43.txt
44,Investigation of hydrogen storage properties in novel Ti-V-Mn-Co quaternary alloys,"P., Silva, Paulo; L., Santos, Luis; R., Costa, Ricardo; M., Oliveira, Marco",2024,10.1016/j.jallcom.2024.176567,Novel Ti-V-Mn-Co quaternary alloys were synthesized and investigated for hydrogen storage properties with focus on quaternary composition optimization.,data/pdfs/2024_Silva.pdf,Ti-V-Mn-Co quaternary,3.3,Quaternary optimization with Co addition,quaternary optimization,ambient to 200°C,"Quaternary benefits, Co addition advantages",Complex four-element optimization,rule_based_extraction,0.8,data/raw_text/44.txt
